2.807Am^-2 2GHz0.17537806717810725
2.808Am^-2 2GHz0.17567504949319954
2.8089999999999997Am^-2 2GHz0.17595436328454372
2.8099999999999996Am^-2 2GHz0.1762159067028191
2.811Am^-2 2GHz0.17645957808718765
2.812Am^-2 2GHz0.17668528503328565
2.8129999999999997Am^-2 2GHz0.17689295355244997
2.814Am^-2 2GHz0.1770825362810484
2.815Am^-2 2GHz0.17725402064098214
2.816Am^-2 2GHz0.1774074354642017
2.8169999999999997Am^-2 2GHz0.17754285652611018
2.8179999999999996Am^-2 2GHz0.17766041062075746
2.819Am^-2 2GHz0.17776027810544387
2.82Am^-2 2GHz0.17784269423346655
2.8209999999999997Am^-2 2GHz0.1779079488388819
2.822Am^-2 2GHz0.17795638465304803
2.823Am^-2 2GHz0.17798839500057437
2.824Am^-2 2GHz0.17800442049451945
2.8249999999999997Am^-2 2GHz0.17800494507833084
2.8259999999999996Am^-2 2GHz0.17799049216883694
2.827Am^-2 2GHz0.17796162084562345
2.828Am^-2 2GHz0.17791892190627318
2.8289999999999997Am^-2 2GHz0.17786301517414035
2.83Am^-2 2GHz0.17779454637448555
2.831Am^-2 2GHz0.1777141859651208
2.832Am^-2 2GHz0.17762262705048884
2.8329999999999997Am^-2 2GHz0.1775205853127421
2.8339999999999996Am^-2 2GHz0.17740879818718241
2.835Am^-2 2GHz0.17728802518653372
2.836Am^-2 2GHz0.17715904741839011
2.8369999999999997Am^-2 2GHz0.1770226677833723
2.838Am^-2 2GHz0.1768797103232513
2.839Am^-2 2GHz0.17673101934170726
2.84Am^-2 2GHz0.17657745850173995
2.8409999999999997Am^-2 2GHz0.17641990871072247
2.8419999999999996Am^-2 2GHz0.17625926644132797
2.843Am^-2 2GHz0.17609644132432611
2.844Am^-2 2GHz0.17593235383279782
2.8449999999999998Am^-2 2GHz0.1757679333595498
2.846Am^-2 2GHz0.17560411642261356
2.847Am^-2 2GHz0.17544184572517918
2.848Am^-2 2GHz0.17528206979250557
2.8489999999999998Am^-2 2GHz0.17512574394271133
2.8499999999999996Am^-2 2GHz0.1749738319223846
2.851Am^-2 2GHz0.17482730887359965
2.852Am^-2 2GHz0.17468716511420895
2.8529999999999998Am^-2 2GHz0.17455441047927284
2.854Am^-2 2GHz0.17443007957106763
2.855Am^-2 2GHz0.17431523677339716
2.856Am^-2 2GHz0.17421098069735313
2.8569999999999998Am^-2 2GHz0.1741184481177056
2.8579999999999997Am^-2 2GHz0.1740388164506714
2.859Am^-2 2GHz0.17397330426143248
2.86Am^-2 2GHz0.1739231691731384
2.8609999999999998Am^-2 2GHz0.17388970325956596
2.862Am^-2 2GHz0.17387422544507097
2.863Am^-2 2GHz0.1738780703800817
2.864Am^-2 2GHz0.17390257406882506
2.8649999999999998Am^-2 2GHz0.17394905688017806
2.8659999999999997Am^-2 2GHz0.1740188029991303
2.867Am^-2 2GHz0.17411303839743744
2.868Am^-2 2GHz0.17423290656152315
2.8689999999999998Am^-2 2GHz0.17437944356059962
2.87Am^-2 2GHz0.17455355324993768
2.871Am^-2 2GHz0.1747559827741978
2.872Am^-2 2GHz0.17498730015250857
2.8729999999999998Am^-2 2GHz0.17524787418227739
2.8739999999999997Am^-2 2GHz0.17553785725012666
2.875Am^-2 2GHz0.17585717240805362
2.876Am^-2 2GHz0.1762055038943543
2.877Am^-2 2GHz0.1765822927615848
2.8779999999999997Am^-2 2GHz0.17698673662628092
2.8789999999999996Am^-2 2GHz0.1774177933392661
2.88Am^-2 2GHz0.17787418958848203
2.881Am^-2 2GHz0.1783544324705673
2.8819999999999997Am^-2 2GHz0.17885682450955412
2.883Am^-2 2GHz0.17937948119153257
2.884Am^-2 2GHz0.17992035034096374
2.885Am^-2 2GHz0.18047723276017733
2.8859999999999997Am^-2 2GHz0.18104780376369697
2.8869999999999996Am^-2 2GHz0.1816296342982067
2.888Am^-2 2GHz0.18222021205693106
2.889Am^-2 2GHz0.18281696127461425
2.8899999999999997Am^-2 2GHz0.18341726162006777
2.891Am^-2 2GHz0.18401846501676064
2.892Am^-2 2GHz0.18461791105008962
2.893Am^-2 2GHz0.18521294034887537
2.8939999999999997Am^-2 2GHz0.18580090549537379
2.8949999999999996Am^-2 2GHz0.1863791806757995
2.896Am^-2 2GHz0.1869451684544079
2.897Am^-2 2GHz0.18749630552102262
2.8979999999999997Am^-2 2GHz0.18803006563696642
2.899Am^-2 2GHz0.18854396140200738
2.9Am^-2 2GHz0.18903554458383848
2.901Am^-2 2GHz0.1895024045735273
2.9019999999999997Am^-2 2GHz0.18994216599775707
2.9029999999999996Am^-2 2GHz0.1903524849499376
2.904Am^-2 2GHz0.19073104498153204
2.905Am^-2 2GHz0.19107555201608703
2.9059999999999997Am^-2 2GHz0.1913837295021847
2.907Am^-2 2GHz0.191653313327987
2.908Am^-2 2GHz0.1918820472459499
2.909Am^-2 2GHz0.19206767935482108
2.9099999999999997Am^-2 2GHz0.19220795949019534
2.9109999999999996Am^-2 2GHz0.19230063830710512
2.912Am^-2 2GHz0.19234346833769683
2.913Am^-2 2GHz0.1923342075447947
2.9139999999999997Am^-2 2GHz0.1922706251831673
2.915Am^-2 2GHz0.19215051094656727
2.916Am^-2 2GHz0.19197168692505404
2.917Am^-2 2GHz0.1917320229214208
2.9179999999999997Am^-2 2GHz0.19142945472969042
2.9189999999999996Am^-2 2GHz0.19106200553009386
2.92Am^-2 2GHz0.1906278097048539
2.921Am^-2 2GHz0.19012513955341595
2.9219999999999997Am^-2 2GHz0.1895524330327237
2.923Am^-2 2GHz0.18890832368059327
2.924Am^-2 2GHz0.18819167042996066
2.925Am^-2 2GHz0.18740158831141066
2.9259999999999997Am^-2 2GHz0.18653747810141852
2.9269999999999996Am^-2 2GHz0.18559905491589604
2.928Am^-2 2GHz0.18458637566206582
2.929Am^-2 2GHz0.18349986371238938
2.9299999999999997Am^-2 2GHz0.18234033208493383
2.931Am^-2 2GHz0.18110900298106797
2.932Am^-2 2GHz0.1798075252166973
2.933Am^-2 2GHz0.1784379877349951
2.9339999999999997Am^-2 2GHz0.17700293051966062
2.9349999999999996Am^-2 2GHz0.17550535147893648
2.936Am^-2 2GHz0.17394871010229668
2.937Am^-2 2GHz0.17233692650736313
2.9379999999999997Am^-2 2GHz0.1706743769405621
2.939Am^-2 2GHz0.16896588429938675
2.94Am^-2 2GHz0.16721670389698864
2.941Am^-2 2GHz0.16543250431516524
2.9419999999999997Am^-2 2GHz0.16361934249828938
2.9429999999999996Am^-2 2GHz0.1617836341381662
2.944Am^-2 2GHz0.15993211851088313
2.945Am^-2 2GHz0.15807181800753548
2.9459999999999997Am^-2 2GHz0.15620999370746014
2.947Am^-2 2GHz0.15435409630622188
2.948Am^-2 2GHz0.15251171397641478
2.949Am^-2 2GHz0.15069051717146503
2.9499999999999997Am^-2 2GHz0.14889820197417641
2.9509999999999996Am^-2 2GHz0.1471424312447552
2.952Am^-2 2GHz0.145430775906748
2.953Am^-2 2GHz0.14377065593617874
2.9539999999999997Am^-2 2GHz0.142169281739349
2.955Am^-2 2GHz0.1406335969798474
2.956Am^-2 2GHz0.13917022283865327
2.957Am^-2 2GHz0.13778540454665542
2.9579999999999997Am^-2 2GHz0.13648496072989152
2.9589999999999996Am^-2 2GHz0.13527423610533026
2.96Am^-2 2GHz0.13415805821111826
2.961Am^-2 2GHz0.13314069843815454
